#,Tracker,Status,Priority,Subject,Assignee,Updated
25591,Ошибка,Новая,Нормальный,"Отсутствует фото в карточке товара ""Ніж Boker Applegate-Fairbairn Combat II» в разделе ""Зброя""",Svitlana Kovalova,07/09/2025 09:49 PM
25590,Ошибка,Новая,Нормальный,"Функциональность ""Сортування"" по реквизиту ""За рейтингом"" работает некорректно",Svitlana Kovalova,07/09/2025 09:41 PM
25589,Ошибка,Новая,Нормальный,"Отсутствует графическая метка ""Скоро закінчується"" на товаре ""Гвинтівка малокаліберна Retay 2022 Sporter Green кал. 22 LR 51 см"" в разделе ""Зброя""",Svitlana Kovalova,07/09/2025 08:55 PM
25588,Ошибка,Новая,Нормальный,"Функциональность ""Сортування"" по реквизиту ""Акційні"" в разделе ""Спорядження"" работает некорректно",Svitlana Kovalova,07/09/2025 08:00 PM
25587,Ошибка,Новая,Низкий,"Название товара ""Набор Wutschka для соусов"" не соответствует выбранной UA локализации",Svitlana Kovalova,07/09/2025 08:03 PM
25586,Ошибка,Новая,Нормальный,"Товар ""Графин Wutschka Safari для виски"" отображается в неверной категории товаров",Svitlana Kovalova,07/09/2025 06:51 PM
25585,Ошибка,Новая,Низкий,"Язык названий сервисных центров в разделе ""Контакты"", не соответствует выбранной RU локализации",Svitlana Kovalova,07/09/2025 08:03 PM
25584,Ошибка,Новая,Низкий,"Язык статьи ""Чистокровні японці: кухонні ножі Kanetsune"" в новостной ленте не соответствует выбранной RU локализации",Svitlana Kovalova,07/09/2025 05:49 PM
25583,Ошибка,Новая,Нормальный,"Ошибка локализации при открытии ""Пользовательского соглашения"" в футере сайта в русской локализации",Svitlana Kovalova,07/09/2025 05:24 PM
25582,Ошибка,Новая,Высокий,"Отсутствует фото в карточке товара ""Ложа модульная Blaser R8 Ultimate Silence Dark Brown"" в разделе ""Зброя""",Svitlana Kovalova,07/09/2025 08:37 PM
